GEO.display-label,HC01_VC03,HC01_VC04,HC03_VC04,HC01_VC05,HC03_VC05,HC01_VC93,HC03_VC93,HC01_VC99,HC03_VC99,HC01_VC100,HC03_VC100,HC01_VC101,HC03_VC101,HC01_VC102,HC03_VC102,HC01_VC103,HC03_VC103,HC01_VC104,HC03_VC104,HC01_VC105,HC03_VC105,HC01_VC113,HC01_VC114,HC03_VC114,HC01_VC115,HC03_VC115
United States,325719178,160402504,49.2,165316674,50.8,58846134,18.1,197285202,60.6,40129593,12.3,2145162,0.7,17999846,5.5,546778,0.2,833898,0.3,7932565,2.4,231416670,112252888,48.5,119163782,51.5
Alabama,4874747,2359896,48.4,2514851,51.6,201970,4.1,3191450,65.5,1302295,26.7,22209,0.5,65494,1.3,1432,0.0,8106,0.2,81791,1.7,3688249,1750050,47.4,1938199,52.6
Alaska,739795,385776,52.1,354019,47.9,51712,7.0,448081,60.6,21192,2.9,105146,14.2,48569,6.6,8699,1.2,1210,0.2,55186,7.5,531653,281264,52.9,250389,47.1
Arizona,7016270,3487722,49.7,3528548,50.3,2202173,31.4,3836639,54.7,290379,4.1,274496,3.9,225810,3.2,14951,0.2,12312,0.2,159510,2.3,4895706,2412036,49.3,2483670,50.7
Arkansas,3004279,1479682,49.3,1524597,50.7,223764,7.4,2173307,72.3,455500,15.2,16901,0.6,46583,1.6,8220,0.3,7629,0.3,72375,2.4,2207894,1065667,48.3,1142227,51.7
California,39536653,19650051,49.7,19886602,50.3,15477306,39.1,14616636,37.0,2164239,5.5,147880,0.4,5679986,14.4,137520,0.3,107223,0.3,1205863,3.0,25650455,12596031,49.1,13054424,50.9
Colorado,5607154,2820169,50.3,2786985,49.7,1206724,21.5,3822055,68.2,219500,3.9,32102,0.6,176176,3.1,7137,0.1,11528,0.2,131932,2.4,4057437,2020660,49.8,2036777,50.2
Connecticut,3588184,1750647,48.8,1837537,51.2,578833,16.1,2393694,66.7,354320,9.9,7486,0.2,162564,4.5,137,0.0,13505,0.4,77645,2.2,2611667,1252709,48.0,1358958,52.0
Delaware,961939,465510,48.4,496429,51.6,89540,9.3,597917,62.2,206690,21.5,2344,0.2,38404,4.0,244,0.0,1545,0.2,25255,2.6,709999,337892,47.6,372107,52.4
District of Columbia,693972,329078,47.4,364894,52.6,76526,11.0,253416,36.5,314705,45.3,1574,0.2,28056,4.0,217,0.0,3746,0.5,15732,2.3,510514,236100,46.2,274414,53.8
Florida,20984400,10254267,48.9,10730133,51.1,5370860,25.6,11288419,53.8,3224452,15.4,42654,0.2,578136,2.8,11076,0.1,78348,0.4,390455,1.9,15014950,7226269,48.1,7788681,51.9
Georgia,10429379,5070721,48.6,5358658,51.4,1001472,9.6,5487048,52.6,3245371,31.1,18335,0.2,408067,3.9,7967,0.1,27473,0.3,233646,2.2,7362615,3500441,47.5,3862174,52.5
Hawaii,1427538,716350,50.2,711188,49.8,150125,10.5,310584,21.8,22629,1.6,1659,0.1,532881,37.3,132740,9.3,2268,0.2,274652,19.2,1025548,519972,50.7,505576,49.3
Idaho,1716943,862720,50.2,854223,49.8,213619,12.4,1407302,82.0,10947,0.6,19136,1.1,22698,1.3,2313,0.1,1724,0.1,39204,2.3,1219481,607218,49.8,612263,50.2
Illinois,12802023,6294900,49.2,6507123,50.8,2206927,17.2,7834272,61.2,1790512,14.0,12784,0.1,689701,5.4,3822,0.0,19975,0.2,244030,1.9,9055927,4382552,48.4,4673375,51.6
Indiana,6666818,3286152,49.3,3380666,50.7,461618,6.9,5278785,79.2,613080,9.2,9694,0.1,146611,2.2,1302,0.0,9282,0.1,146446,2.2,4899251,2376335,48.5,2522916,51.5
Iowa,3145711,1562265,49.7,1583446,50.3,185746,5.9,2701250,85.9,103989,3.3,7825,0.2,80937,2.6,5604,0.2,2532,0.1,57828,1.8,2325355,1140812,49.1,1184543,50.9
Kansas,2913123,1452573,49.9,1460550,50.1,345510,11.9,2210739,75.9,161148,5.5,17617,0.6,85386,2.9,2861,0.1,3283,0.1,86579,3.0,2091261,1029480,49.2,1061781,50.8
Kentucky,4454189,2194850,49.3,2259339,50.7,155163,3.5,3769995,84.6,355829,8.0,6882,0.2,64381,1.4,3470,0.1,7045,0.2,91424,2.1,3350956,1623917,48.5,1727039,51.5
Louisiana,4684333,2289695,48.9,2394638,51.1,243620,5.2,2739086,58.5,1505991,32.1,21942,0.5,83959,1.8,1227,0.0,11015,0.2,77493,1.7,3469016,1660343,47.9,1808673,52.1
Maine,1335907,654763,49.0,681144,51.0,21899,1.6,1247090,93.4,15761,1.2,8225,0.6,15141,1.1,228,0.0,833,0.1,26730,2.0,1064497,516252,48.5,548245,51.5
Maryland,6052177,2935822,48.5,3116355,51.5,612709,10.1,3066146,50.7,1776692,29.4,11879,0.2,389297,6.4,1958,0.0,20777,0.3,172719,2.9,4310864,2047724,47.5,2263140,52.5
